Count, Cmd, Bottom, Head
1, 5, 4.95, 5.14
2, 5, 4.94, 5.12
3, 5, 4.95, 5.13
4, 5, 4.95, 5.12
5, 5, 4.95, 5.12
6, 5, 4.95, 5.12
7, 5, 4.95, 5.11
8, 5, 4.95, 5.11
9, 5, 4.95, 5.11
10, 5, 4.95, 5.12
11, 5, 4.96, 5.12
12, 5, 4.95, 5.12
13, 5, 4.94, 5.11
14, 5, 4.92, 5.09
15, 5, 4.91, 5.09
16, 5, 4.92, 5.09
17, 5, 4.9, 5.09
18, 5, 4.92, 5.09
19, 5, 4.91, 5.09
20, 5, 4.9, 5.08
21, 5, 4.91, 5.09
22, 5, 4.91, 5.08
23, 5, 4.91, 5.08
24, 5, 4.91, 5.09
25, 5, 4.91, 5.09
26, 5, 4.92, 5.09
27, 5, 4.92, 5.1
28, 5, 4.93, 5.1
29, 5, 4.92, 5.1
30, 5, 4.92, 5.1
31, 5, 4.93, 5.1
32, 5, 4.93, 5.1
33, 5, 4.93, 5.1
34, 5, 4.93, 5.1
35, 5, 4.92, 5.1
36, 5, 4.92, 5.1
37, 5, 4.92, 5.09
38, 5, 4.91, 5.1
39, 5, 4.92, 5.1
40, 5, 4.92, 5.1
41, 5, 4.91, 5.09
42, 5, 4.91, 5.09
43, 5, 4.93, 5.1
44, 5, 4.91, 5.1
45, 5, 4.93, 5.1
46, 5, 4.91, 5.09
47, 5, 4.92, 5.1
48, 5, 4.9, 5.1
49, 5, 4.91, 5.1
50, 5, 4.91, 5.1
51, 5, 4.92, 5.1
52, 5, 4.91, 5.09
53, 5, 4.92, 5.1
54, 5, 4.92, 5.09
55, 5, 4.91, 5.1
56, 5, 4.92, 5.09
57, 5, 4.91, 5.09
58, 5, 4.92, 5.1
59, 5, 4.92, 5.1
60, 5, 4.92, 5.09
61, 5, 4.92, 5.09
62, 5, 4.91, 5.09
63, 5, 4.92, 5.1
64, 5, 4.92, 5.1
65, 5, 4.92, 5.1
66, 5, 4.92, 5.1
67, 5, 4.93, 5.1
68, 5, 4.92, 5.09
69, 5, 4.91, 5.09
70, 5, 4.92, 5.09
71, 5, 4.91, 5.09
72, 5, 4.91, 5.09
73, 5, 4.91, 5.09
74, 5, 4.92, 5.08
75, 5, 4.92, 5.09
76, 5, 4.91, 5.09
77, 5, 4.91, 5.09
78, 5, 4.92, 5.09
79, 5, 4.91, 5.09
80, 5, 4.91, 5.09
81, 5, 4.92, 5.09
82, 5, 4.91, 5.09
83, 5, 4.92, 5.1
84, 5, 4.91, 5.09
85, 5, 4.92, 5.1
86, 5, 4.91, 5.09
87, 5, 4.91, 5.09
88, 5, 4.91, 5.09
89, 5, 4.92, 5.09
90, 5, 4.91, 5.08
91, 5, 4.92, 5.09
92, 5, 4.91, 5.09
93, 5, 4.91, 5.09
94, 5, 4.92, 5.1
95, 5, 4.92, 5.1
96, 5, 4.93, 5.1
97, 5, 4.91, 5.09
98, 5, 4.91, 5.09
99, 5, 4.91, 5.1
100, 5, 4.91, 5.09
