InputForce,CalForce,HeadForce,HeightValue
0.35,0.34,0.32,266
0.59,0.59,0.58,438.9
0.84,0.84,0.84,592.9
1.08,1.08,1.08,726.8
1.33,1.33,1.33,861
1.57,1.57,1.58,992.9
1.82,1.82,1.84,1131
2.06,2.06,2.05,1242.9
2.31,2.31,2.3,1368.9
2.55,2.54,2.51,1475
2.8,2.79,2.76,1598.9
3.04,3.04,3,1722.9
3.29,3.29,3.26,1863.7
3.53,3.51,3.49,1990
3.78,3.77,3.77,2141.8
4.02,4.01,4.06,2300
4.27,4.26,4.34,2450
4.51,4.5,4.58,2586
4.76,4.75,4.84,2731.8
5,4.99,5.1,2869.8
